$document group,$document name,ID,$site,$Country,date,general role,4.2a) Who are your main supplier of octopus?  [denoted for Supplier 1],"main supplier is a fisher? (1 is yes, 0 is no)",location biggest? and smallest? [Supplier 1],Gender [Supplier 1],4.2b) how many of each of these types of supplier do you work with?)  [Supplier 1],Average number of suppliers (calculated from averaging 4.2b),4.2c) Have you worked with them for long? [Supplier 1],Average number of years worked together,4.2d Kaz Quality [Supplier 1],4.2d kaz Quantity [Supplier 1],4.2d kaz price/kg [Supplier 1],4.2d kaz price/kg [Supplier 1] EDITED in KES or TSH depending on country,Calculated profit margin per kg in home country currency,Calculated profit margin per kg in USD during Kazi using the conversion rates 2241.6882771832 and 103.1033080415,4.2d kaz week/month [Supplier 1],Calculated average Kazi quantity in kg per month [Supplier 1] ,Calculated average Kazi Season quantity in kg Supplier 1 (per month *6),Calculated average Kazi  Season quantity in kg Supplier 1 (per month *6) in metric tonnes,Calculated per Kazi Season gross profit earned from Supplier 1. (Profit margin for Kazi from Supplier 1 in their home country currency * kg quantity from Supplier 1 per Kazi season),4.2d Kusi Quality [Supplier 1],4.2d kusi Quantity [Supplier 1],4.2d kusi price/kg [Supplier 1],4.2d kusi price [Supplier 1] EDITED in TNZ or KES depending on country,KUSI/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 1 in home country currency : average kusi selling price/kg- average buying price/kg,4.2d kusi week/month [Supplier 1],Calculated average Kusi quantity in kg per month [Supplier 1],Calculated average Kusi Season quantity in kg [Supplier 1] (per month *6),Calculated average Kusi Season quantity in kg [Supplier 1] (per month *6) in metric tonnes,Calculated PER KUSI Season GROSS PROFIT EARNED FROM SUPPLIER 1: (PROFIT MARGIN/KG*KG QUANTITY PER KUSI),4.2a) Who are your 2nd main supplier of octopus?  *Denoted as supplier 2,2nd main supplier edited,For supplier 2: location biggest? and smallest?,For supplier 2: Gender,For supplier 2:  4.2b) how many of each of these types of supplier do you work with?) ,Total number of fishers supplying interviewee (calculated from supplier 1 and 2),Total number of traders supplying interviewee (calculated supplier 1 and 2),Total number of suppliers main and secondary (as calculated),For supplier 2: 4.2c) Have you worked with them for long?,For supplier 2:  4.2d )Kaz Quality,For supplier 2: 4.2d kazi Quantity,For supplier 2: 4.2d) kaz price/kg,For supplier 2: 4.2d) kaz price/kg EDITED,KAZI/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 2: in home country currency  (average kazi selling price/kg- average buying price/kg),For supplier 2: 4.2d) kaz week/month,Calculated average Kazi quantity in kg per month [Supplier 2],Calculated average Kazi  Season quantity in kg  [Supplier 2] *6 months,Calculated average Kazi Season quantity in kg  [Supplier 2] *6 months in metric tonnes,Calculated PER KAZI Season GROSS PROFIT EARNED FROM SUPPLIER 2: (PROFIT MARGIN/KG*KG QUANTITY PER KAZI,For supplier 2: 4.2d) Kusi Quality,For supplier 2: 4.2d) kusi Quantity,For supplier 2:  4.2d) kusi price/kg,For supplier 2:  4.2d) kusi price/kg EDITED,Kusi/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 2 in home country currency : average kusi selling price/kg- average buying price/kg,For supplier 2:  4.2d) kusi week/month,Calculated average Kusi quantity in kg per month [Supplier 2],Calculated average Kusi Season quantity in kg per KUSI [Supplier 2] *6 months,Calculated average Kusi Season quantity in kg per month [Supplier 2] *6 months in metric tonnes,Calculated PER KUSI Season GROSS PROFIT EARNED FROM SUPPLIER 2: (PROFIT MARGIN/KG*KG QUANTITY PER KUSI),Calculated TOTAL PER KAZI Season GROSS PROFIT in home country currency EARNED FROM SUPPLIER 1& 2,Calculated TOTAL PER KUSI Season GROSS PROFIT in home country currency EARNED FROM SUPPLIER 1& 2,TOTAL KUSI Season GROSS PROFIT IS WHAT PROPORTION OF KAZI Season GROSS PROFIT (total kusi gross profit/total kazi gross profit),CALCULATED YEARLY GROSS PROFIT (TOTAL KAZI SEASON GROSS PROFIT +TOTAL KUSI SEASON GROSS PROFIT) in TZS or KES depending on country,Calculated Kazi season gross profit USD,Calculated Kusi season gross profit USD, CALCULATED YEARLY GROSS PROFIT (TOTAL KAZI SEASON GROSS PROFIT +TOTAL KUSI SEASON GROSS PROFIT) in USD using SEPT conversion rates of 2241.6882771832 and 103.1033080415 ,CALCULATED YEARLY QUANTITY TRADED BY RESPONDENT: (Quantity from supplier 1 and 2/Kazi +Quantity supplier 1 and 2/Kusi) in metric tonnes,5.1a main buyers-domestic,"5.1b octopus product type wanted (** for interviewees this is all fresh) There is a dry local market but at different locations.- none going for export.  We heard of it and observed but did not get into it (the mzungu initial starting price is 20,000 TSH per dry octopus)",5.1c kaz quality,5.1c kaz quantity,5.1c kaz week/month,5.1c kaz price/kg,5.1c Kazi Buying price/kg in home country currency EDITED (used for profit margin calculations),5.1c kusi quality,5.1c kusi price/kg,5.1c kusi Buying price/kg in home country currency EDITED (used for profit margin calculations)
small-scale trader,OT/SHI/03102017/1,P24,Shimoni,Kenya,3/10/17,Octopus trader,fishers ,1,Kibuyuni,male,more than 30,30,7 yrs,7,fresh,1400kg,170-200KES,185,35,0.34,month,1400,8400,8.4,294000,Fresh,700kg,200KES,200,20,month,700,4200,4.2,84000,Traders,traders,Ngomani landing site next to Kibuyuni,m,3,30,3,33,7 yrs,fresh,600kg,200KES,200,20,month,600,3600,3.6,72000,fresh,300kg,200KES,200,20,month,300,1800,1.8,36000,366000,120000,33%,486000," $3,549.84 "," $1,163.88 "," $4,713.72 ",18,Agent,Big and small octopuses,fresh,,,220KES,220,,220KES,220
small-scale trader,OT/SHI/04102017/1,P25,Shimoni,Kenya,4/10/17,Octopus trader,fishers ,1,Mwazaro/Bati,male,around 28,28,15yrs,1,fresh,90-270kg,200KES,200,35,0.34,week,720,4320,4.32,151200,Fresh,0-60kg,200KES,200,35,week,120,720,0.72,25200,Traders,traders,Kiromo/Mtimbwani,m,4,28,4,32,10 yrs,fresh,120-240kg,220-230KES,225,10,week,720,4320,4.32,43200,fresh,0-60kg,220-230KES,225,10,week,120,720,0.72,7200,194400,32400,17%,226800," $1,885.49 ", $314.25 ," $2,199.74 ",10.08,Agents and Hotels upon request,Big and small octopuses for the Agents and Medium(1 - 1.5kg) for Hotels,fresh,,,Agent-230-240KES Hotel- 300-350KES,235,,Agent-230-240KES. Hotel- 300-350KES,235
small-scale trader,OT/SHI/04102017/2,P26,Shimoni,Kenya,4/10/17,Octopus trader,fishers ,1,Mkwiro,male and female,2 male and 5 female,7,10 yrs,10,fresh,400kg,190KES,190,30,0.29,month,400,2400,2.4,72000,fresh,50kg,190KES,190,30,month,50,300,0.3,9000,,none,,,,7,0,7,,,,,,,,,,,,,,,,,,,,,,72000,9000,13%,81000, $698.33 , $87.29 , $785.62 ,2.7,Agent,Big and small octopuses,fresh,,,220KES,220,,220KES,220
small-scale trader,OT/SHI/02102017/2,P27,Shimoni,Kenya,3/10/17,Octopus trader,fishers ,1,Anzwani,male,7,7,5yrs,5,fresh,150-180kg,200KES,200,35,0.34,week,660,3960,3.96,138600,Fresh,12-48kg,200KES,200,35,week,120,720,0.72,25200,,none,,,,7,0,7,,,,,,,,,,,,,,,,,,,,,,138600,25200,18%,163800," $1,344.28 ", $244.42 ," $1,588.70 ",4.68,Agents and final consumers,Big and small octopuses,fresh,,,220KES (Agent). 250KES(consumers),235,,220KES(Agent). 250KES(consumers),235
small-scale trader,OT/SHI/02102017/1,P28,Shimoni,Kenya,2/10/17,Octopus trader,fishers ,1,Anzwani,male,7,7,8 yrs,8,fresh,60-210kg,200KES,200,35,0.34,week,540,3240,3.24,113400,Fresh,0-30kg,200KES,200,35,week,60,360,0.36,12600,,none,,,,7,0,7,,,,,,,,,,,,,,,,,,,,,,113400,12600,11%,126000," $1,099.87 ", $122.21 ," $1,222.08 ",3.6,Agents and final consumers,big octopus,fresh,,,220KES (Agent). 250KES(consumers),235,,220KES(Agent). 250KES(consumers),235
small-scale trader,OT/SHI/03102017/2,P29,Shimoni,Kenya,3/10/17,Octopus trader,fishers ,1,Kibuyuni,male,30,30,15 yrs,15,fresh,400-500kg,170-200KES,185,35,0.34,month,450,2700,2.7,94500,Fresh,100-200kg,200KES,200,20,month,600,3600,3.6,72000,,none,,,,30,0,30,,,,,,,,,,,,,,,,,,,,,,94500,72000,76%,166500, $916.56 , $698.33 ," $1,614.89 ",6.3,Agent,big and small octopus,fresh,,,220KES,220,,220KES,220
Company agent,OA/VAN/05102017/1,P35,Vanga,Kenya,5/10/17,Company agent,fishers ,1,Vanga,male,44,44,11 yrs,11,fresh,1080-1200kg,180-200KES,190,60,0.58,week,4560,27360,27.36,1641600,Fresh,60-240kg,200KES,200,50,week,600,3600,3.6,180000,Traders,traders,Jimbo,F,1,44,1,45,10 yrs.,fresh,600-840kg,225KES,225,25,week,2840,17040,17.04,426000,fresh,240-300kg,225KES,225,25,week,1080,6480,6.48,162000,2067600,342000,17%,2409600," $20,053.67 "," $3,317.06 "," $23,370.73 ",54.48,Sea harvest,big octopus,,,,250KES,250,,250KES,250
Company agent,OA/VAN/06102017/1,P36,Vanga,Kenya,6/10/17,Company agent,fishers ,1,Vanga,male,20,20,4 yrs,4,fresh,600-800kg,180-200KES,190,60,0.58,week,2800,16800,16.8,1008000,Fresh,300kg,180-200KES,190,60,week,1200,7200,7.2,432000,,none,,,,20,0,20,,,,,,,,,,,,,,,,,,,,,,1008000,432000,43%,1440000," $9,776.60 "," $4,189.97 "," $13,966.57 ",24,Sea Harvest and Consumers,big octopus,fresh,,,250KES,250,fresh,250KES,250
Company agent,OT/VAN/05102017/1,P37,Vanga,Kenya,5/10/17,Company agent,fishers ,1,Jimbo,male,13,13,7 yrs,7,fresh,360-600kg,180-200KES,190,40,0.39,week,1920,11520,11.52,460800,Fresh,72kg,200KES,200,30,week,288,1728,1.728,51840,,none,,,,13,0,13,,,,,,,,,,,,,,,,,,,,,,460800,51840,11%,512640," $4,469.30 ", $502.80 ," $4,972.10 ",13.248,Agent,big octopus,,,,230KES,230,,230KES,230
small-scale trader,OT/VAN/04102017/1,P38,Vanga,Kenya,4/10/17,Octopus trader,fishers ,1,Vanga,male,2,2,1 yrs,1,fresh,45-60kg,200KES,200,35,0.34,week,210,1260,1.26,44100,Fresh,12-21kg,200KES,200,35,week,66,396,0.396,13860,,none,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,44100,13860,31%,57960, $427.73 , $134.43 , $562.15 ,1.656,Agents and consumers,big octopus,,,,Agent-220KES consumer- 250KES,235,,Agent-220KES. consumer- 250KES,235
Company agent,OA/DAR/06092017/1,P2,Dar es Salaam,Tanzania,6/9/17,Company agent,fishers ,1,"Mafia, Tanga, Kilwa, Mtwara",male,14,14,13 yrs,13,fresh,12000-14000kg,5000Tsh,5000,1500,1,month,13000,78000,78,117000000,Fresh,600-800kg,7500-8000Tsh,7750,-250,month,700,4200,4.2,-1050000,,none,,,,14,0,14,,,,,,,,,,,,,,,,,,,,,,117000000,-1050000,-1%,115950000," $52,192.81 ", $(468.40)," $51,724.41 ",82.2,"Alpha, Bio food, Asmara",big octopus,fresh,,,6500Tsh,6500,fresh,7000-8000Tsh,7500
Large-scale trader,OT/DAR/06092017/4,P1,Dar es Salaam,Tanzania,6/9/17,Octopus trader,traders,0,"Mtwara, Tanga, Kilwa. (more octopus from Mtwara)",male,3,3,1 yrs,1,fresh,6000kg,6000Tsh,6000,1000,0.45,month,6000,36000,36,36000000,Fresh,1000kg,6500Tsh,6500,150,month,1000,6000,6,900000,,none,,,,0,3,3,,,,,,,,,,,,,,,,,,,,,,36000000,900000,3%,36900000," $16,059.32 ", $401.48 ," $16,460.81 ",42,small scale traders (fryers),big octopus,fresh,,,7000Tsh,7000,,6500-6800Tsh,6650
small-scale trader,OT/DAR/05092017/1,P3,Dar es Salaam,Tanzania,5/9/17,Octopus trader,fishers ,1,Dar Es Salaam,male,7,7,3 yrs,3,fresh,3600-4800kg,5500Tsh,5500,2500,1.12,week,16800,100800,100.8,252000000,Fresh,900-1200kg,6500Tsh,6500,1500,week,4200,25200,25.2,37800000,,none,,,,7,0,7,,,,,,,,,,,,,,,,,,,,,,252000000,37800000,15%,289800000," $112,415.27 "," $16,862.29 "," $129,277.56 ",126,Agents(sell to hotels & restaurants) and Small scale traders(Toto Sahani- fry and sell in the streets),big and small octopus,fresh,,,less@7000-9000Tsh(Agent) more@7000-9000Tsh (Small scale traders),8000,,less@7000-9000Tsh(Agent) more@7000-9000Tsh (Small scale traders),8000
small-scale trader,OT/DAR/06092017/3,P4,Dar es Salaam,Tanzania,6/9/17,Octopus trader,fishers ,1,Dar es Salaam,male,3,3,9 months,9,fresh,240kg,5500-6000Tsh,5750,2750,1.23,week,960,5760,5.76,15840000,Fresh,120kg,6000-7000Tsh,6500,2500,week,480,2880,2.88,7200000,,none,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,15840000,7200000,45%,23040000," $7,066.10 "," $3,211.86 "," $10,277.97 ",8.64,Final consumer & Food café,small and big octopus,fresh,,,"consumers(6500-7500Tsh), food café (10000Tsh)",8500,fresh,"consumer (8000Tsh), Food café (10000Tsh)",9000
small-scale trader(fryer),OT/DAR/06092017/2,P5,Dar es Salaam,Tanzania,6/9/17,fryer,traders,0,Dar Es Salaam fish market,male,6,6,4 yrs,4,fresh,25kg,"(1kg and above)7000Tsh. (below 0.5kg)5000Tsh
",6000,13000,5.80,week,100,600,0.6,7800000,Fresh,15kg,"(1kg and above)8000Tsh. (below 0.5kg)6500Tsh.
",7250,11750,week,60,360,0.36,4230000,,none,,,,0,6,6,,,,,,,,,,,,,,,,,,,,,,7800000,4230000,54%,12030000," $3,479.52 "," $1,886.97 "," $5,366.49 ",0.96,Final consumer,small octopus,fresh,,,"0.25@6000Tsh and 0.5@7000Tsh
",19000,fresh,"0.25@6000Tsh 0.5@7000Tsh
",19000
small-scale trader(fryer),OT/DAR/06092017/1,P6,Dar es Salaam,Tanzania,6/9/17,fryer,traders,0,Dar es Salaam,male,30,30,10 yrs,10,fresh,30-36kg,(1kg and above)8000Tsh. (below 0.5kg)6000Tsh,7000,3000,1.34,week,132,792,0.792,2376000,Fresh,30-36kg,(1kg and above)8000Tsh. (below 0.5kg)6000Tsh,7000,3000,week,132,792,0.792,2376000,,none,,,,0,30,30,,,,,,,,,,,,,,,,,,,,,,2376000,2376000,100%,4752000," $1,059.92 "," $1,059.92 "," $2,119.83 ",1.584,final consumer,small octopus,fresh,,,0.5kg- 5000Tsh.,10000,,0.5kg- 5000Tsh.,10000
Company agent,OA/MTW/08092017/1,P14,Mtwara,Tanzania,8/9/17,Company agent,traders,0,Mozambique,male,5,5,1 month,0.083,fresh,700kg,4000Tsh,4000,750,0.33,week,2800,16800,16.8,12600000,fresh,,,,4750,,,0,0,0,Traders,traders,Mtwara,m,5,0,10,10,1 month,fresh,1800kg,4000Tsh,4000,750,week,7200,43200,43.2,32400000,fresh,0,,,,,,,,,45000000,N/A,N/A,N/A," $20,074.16 ",,,60,Company (Alpha choice) & large scale Traders,big octopus,fresh,,,Company -5000/Tsh.l.c. traders -4500Tsh.,4750,,Company -5000/Tsh.l.c. traders -4500Tsh.,4750
Company agent,OA/MTW/10092017/1,P15,Mtwara,Tanzania,10/9/17,Company agent,fishers ,1,From villages in Mtwara,male,7,7,2 yrs,2,fresh,300kg,3000Tsh,3000,1500,0.67,week,1200,7200,7.2,10800000,Fresh,120kg,3000Tsh,3000,1500,week,480,2880,2.88,4320000,,none,,,,7,0,7,,,,,,,,,,,,,,,,,,,,,,10800000,4320000,40%,15120000," $4,817.80 "," $1,927.12 "," $6,744.92 ",10.08,Alpha,big octopus,fresh,300kg/week,week,4500Tsh,4500,fresh,4500Tsh,4500
Large-scale trader,OT/MTW/10092017/1,P16,Mtwara,Tanzania,10/9/17,Octopus trader,fishers ,1,Mtwara,male,more than 40,40,2 yrs,2,fresh,500-600kg,3800Tsh,3800,500,0.22,month,550,3300,3.3,1650000,Fresh,500-600kg,3800Tsh,3800,500,month,550,3300,3.3,1650000,Fishers,fishers,Mozambique,m,more than 15,55,0,55,1 yrs,fresh,200-300kg,3000Tsh,3000,1300,month,250,1500,1.5,1950000,fresh,200-300kg,3000Tsh,3000,1300,month,250,1500,1.5,1950000,3600000,3600000,100%,7200000," $1,605.93 "," $1,605.93 "," $3,211.86 ",9.6,Consumers & Company (Alpha choice) upon request.,big octopus,fresh,,,4300Tsh,4300,fresh,4300Tsh,4300
Large-scale trader,OT/MTW/09092017/1,P17,Mtwara,Tanzania,9/9/17,Octopus trader,traders,0,Mtwara,male,10,10,8 yrs,8,fresh,600kg,4500Tsh,4500,2000,0.89,week,2400,14400,14.4,28800000,Fresh,600kg,4500Tsh,4500,2000,month,600,3600,3.6,7200000,Traders,traders,Mozambique,m,1,0,11,11,5 yrs,fresh,800-1200kg,4500Tsh,4500,2000,week,4000,24000,24,48000000,fresh,1200-1400kg,4500Tsh,4500,2000,month,1300,7800,7.8,15600000,76800000,22800000,30%,99600000," $34,259.89 "," $10,170.91 "," $44,430.80 ",49.8,Traders in Dar es salaam,big octopus,fresh,,,6500Tsh,6500,fresh,6500Tsh,6500
